,All point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebar No,1,2,3,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,38,39,40,41,42,44,45,46,47,48,50,51,52
Point Name,N1,N2,N3,N5,N6,N7,S1,S2,S3,S5,S6,S7,W1,W2,W3,W4,W5,W6,E1,E2,E3,E4,E5,E6,N1,N2,N3,N5,N6,N7,S1,S2,S3,S5,S6,S7,W1,W2,W4,W5,W6,E1,E2,E4,E5,E6
X,-676.88,-506,-323.24,44.89,227.94,403.78,-500.92,-325.33,-150.13,218.56,398.71,569.11,-850.1,-816.26,-782.9,-750.53,-718.68,-684.22,552.46,586.21,617.69,651.24,684.65,716.17,-676.25,-501.14,-330.01,70.34,230.92,401.17,-498.56,-328.53,-150.69,238.54,398.9,571.08,-853.87,-818.05,-736.33,-704.31,-667.87,545.37,579.48,654.22,687.31,719.62
Y,356.55,388.82,423.32,492.83,527.39,560.59,-556.21,-523.38,-490.62,-421.68,-388,-356.14,323.85,137.29,-46.6,-225.02,-400.54,-590.48,588.66,399.59,223.19,35.19,-152.05,-328.64,343.29,376.53,409.01,484.99,515.47,547.78,-541.56,-509.48,-475.93,-402.5,-372.24,-339.76,309.58,139.52,-248.45,-400.52,-573.5,575.15,401.53,21.15,-147.25,-311.73
Z,205,207,206,206,207,205,206,203,206,205,203,205,189,190,190,190,190,191,189,190,190,190,190,189,309,314,308,307,309,310,306,306,308,313,314,317,296,297,292,293,292,298,298,302,304,305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transversal Start point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebar No,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Name,W1,N1,N2,N3,N4,N5,N6,N7,E1,W1,W2,W3,W4,W5,W6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,-853.87,-676.25,-501.14,-330.01,-223.71,70.34,230.92,401.17,545.37,-853.87,-818.05,-796.54,-736.33,-704.31,-667.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,309.58,343.29,376.53,409.01,429.18,484.99,515.47,547.78,575.15,309.58,139.52,37.37,-248.45,-400.52,-573.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,310,309,314,308,308,307,309,310,319,296,297,295,292,293,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transversal End Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebar No,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Name,W6,S1,S2,S3,S4,S5,S6,S7,E6,E1,E2,E3,E4,E5,E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,-667.87,-498.56,-328.53,-150.69,-56.94,238.54,398.9,571.08,719.62,545.37,579.48,597.87,654.22,687.31,719.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,-573.5,-541.56,-509.48,-475.93,-458.24,-402.5,-372.24,-339.76,-311.73,575.15,401.53,307.98,21.15,-147.25,-311.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,305,306,306,308,309,313,314,317,318,298,298,299,302,304,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,